name,city,state,state_code,postal_code,category,type,subtypes,business_status,phone,website,address,has_address,has_phone,has_website,open_24_hours,emergency_evidence,classification,reason,duplicate_of,source_record_id
1UP PLUMBING,Apache Junction,Arizona,AZ,85120,Plumber,Plumber,"Plumber, Drainage service, Water filter supplier, Water softening equipment supplier, Water treatment supplier",OPERATIONAL,+16025581363,https://www.1upplumbingaz.com,"315 S Stardust Ln, Apache Junction, AZ 85120",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJK4V4oQuesywRDTOYLyLrYl0
Rescue Plumbing Services,Apache Junction,Arizona,AZ,85119,Plumber,Plumber,"Plumber, Contractor, Drainage service, Repair service",OPERATIONAL,+14802865372,https://www.rescueplumbingservicesaz.com,"4995 E Roosevelt St, Apache Junction, AZ 85119",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJc0Ul7ek1tE4R69YhPWdWRQc
"EZ Flow Plumbing, LLC",Chandler,Arizona,AZ,85225,Plumber,Plumber,Plumber,OPERATIONAL,+16026134525,https://www.ezflowplumbingaz.com,"3400 N Arizona Ave #112-113, Chandler, AZ 85225",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJe9KtWfmsK4cRqrObzUx7nIU
"Ground Zero Plumbing, AC and Electrical - Chandler",Chandler,Arizona,AZ,85226,Plumber,Plumber,"Plumber, Air conditioning contractor, Air conditioning repair service, Air conditioning system supplier, Electrician, Furnace parts supplier, Furnace repair service, Heating contractor, Heating equipment supplier, HVAC contractor",OPERATIONAL,+14804480603,https://www.groundzeroplumbingac.com,"17 S Roosevelt Ave, Chandler, AZ 85226",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJfQ83x7apK4cRY8ozF0FkbMs
Plumbers Near Me - Water Heater & Plumbing Services,Chandler,Arizona,AZ,85225,Plumber,Plumber,"Plumber, Drainage service, Gas installation service, Pipe supplier, Septic system service, Water softening equipment supplier",OPERATIONAL,+14806745931,https://plumbersnearme.services/service-areas/chandler-plumbing-services,"201 S Washington St Spc A, Chandler, AZ 85225",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJRTIEt5-rK4cRB5JyYybUU0A
A/C & Plumbing Doctors,Gilbert,Arizona,AZ,85233,Air conditioning contractor,Air conditioning contractor,"Air conditioning contractor, Air conditioning repair service, Air conditioning system supplier, Drainage service, HVAC contractor, Plumber, Water purification company, Water softening equipment supplier, Water treatment supplier",OPERATIONAL,+16027671830,https://theacdoctors.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DGMBListing-gilbert-az,"1394 N Farrell Ct, Gilbert, AZ 85233",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJp4egbwOxK4cRwMoTrpFLydA
Anytime Home Services,Gilbert,Arizona,AZ,85233,Plumber,Plumber,Plumber,OPERATIONAL,+14807378273,http://www.anytimehomeservice.com,"75 W Baseline Rd Ste 19-20, Gilbert, AZ 85233",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJFcVpJj1LKocRlpZ9KDlu118
Arid Valley Plumbing,Gilbert,Arizona,AZ,85233,Plumber,Plumber,"Plumber, Drainage service, Hot water system supplier, Repair service",OPERATIONAL,+14804852994,https://aridvalleyaz.com/plumber-in-gilbert-az/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,"511 W Guadalupe Rd #5, Gilbert, AZ 85233",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJocc39MelK4cRAUO8wF67KUs
Cure All Plumbing,Gilbert,Arizona,AZ,85233,Plumber,Plumber,"Plumber, Drainage service, Water filter supplier, Water treatment supplier",OPERATIONAL,+14808955858,https://www.cureallplumbing.com/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-listing,"75 W Baseline Rd Suite 30, Gilbert, AZ 85233",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJ_____4-lK4cR-h44KtkLve0
Eagle Services,Gilbert,Arizona,AZ,85233,Plumber,Plumber,Plumber,OPERATIONAL,+14806594942,http://eagleplumbing.net,"1245 N McQueen Rd, Gilbert, AZ 85233",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJx-MxgE-oK4cRuF6GGMS57BQ
Epic Plumbing,Gilbert,Arizona,AZ,85233,Plumber,Plumber,Plumber,OPERATIONAL,+14808341466,http://www.epicplumbingaz.com,"1515 W San Angelo St, Gilbert, AZ 85233",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJIToOE06oK4cRa4rhMkTtnQg
Gold Star Plumbing & Drain,Gilbert,Arizona,AZ,85233,Plumber,Plumber,"Plumber, Drainage service",OPERATIONAL,+14804050922,https://goldstarplumbingaz.com/service-areas/gilbert-az-plumber/%3Futm_campaign%3Dgmb%26utm_medium%3Dorganic%26utm_source%3Dgoogle,"1528 W San Pedro St #4, Gilbert, AZ 85233",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJl57AEQGtK4cRAgsM6qOzgOk
Phend Plumbing & Rooter LLC,Gilbert,Arizona,AZ,85234,Plumber,Plumber,Plumber,OPERATIONAL,+14803886093,https://www.phendplumbing.com,"343 N Gilbert Rd, Gilbert, AZ 85234",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJZzSVbBepK4cR3_hDVtT7Nk0
Premier Plumbing And Rooter,Gilbert,Arizona,AZ,85234,Plumber,Plumber,Plumber,OPERATIONAL,+14808753855,https://premierplumbingandrooteraz.com,"929 N Val Vista Dr #114, Gilbert, AZ 85234",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJeRAMhJ8HIgIRWmj_QNPlMQs
"Rite Way Heating, Cooling & Plumbing: Phoenix",Gilbert,Arizona,AZ,85233,Air conditioning repair service,Air conditioning repair service,"Air conditioning repair service, Air conditioning contractor, Electrician, Furnace repair service, Heating contractor, HVAC contractor, Plumber",OPERATIONAL,+14807258510,https://ritewayac.com/phoenix,"1320 W Boxwood Ave, Gilbert, AZ 85233",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJj2pEmkCoK4cRnK8uaULXClw
Second Opinion Plumbing,Gilbert,Arizona,AZ,85234,Plumber,Plumber,"Plumber, Bathroom remodeler, Gas installation service, Hot water system supplier, Kitchen remodeler, Water purification company, Water softening equipment supplier",OPERATIONAL,+14804481126,https://secondopinionplumbingaz.com/%3Futm_source%3DGMB%26utm_medium%3Dlocal,"410 E Scott Ave, Gilbert, AZ 85234",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJpQMgiTSsK4cR32ClQHGSaaw
