name,city,state_code,category,type,phone,exclude_reason
Reece Plumbing,Chula Vista,CA,Plumbing supply store,Plumbing supply store,+1 619-426-4493,No es servicio de plomería (categoría: Plumbing supply store)
Standard Plumbing Supply,Chula Vista,CA,Plumbing supply store,Plumbing supply store,+1 619-754-8803,No es servicio de plomería (categoría: Plumbing supply store)
"Repair Pros Contractor Services, Inc.",Chula Vista,CA,Handyman/Handywoman/Handyperson,Handyman/Handywoman/Handyperson,+1 888-901-7767,No es servicio de plomería (categoría: Handyman/Handywoman/Handyperson)
PROPER HVAC INC,Chula Vista,CA,HVAC contractor,HVAC contractor,+1 619-775-2742,No es servicio de plomería (categoría: HVAC contractor)
Strictly Plumbers,Chula Vista,CA,Marketing agency,Marketing agency,+1 858-412-0813,No es servicio de plomería (categoría: Marketing agency)
Septic Services in Chula Vista,Chula Vista,CA,Contractor,Contractor,+1 619-586-5757,No es servicio de plomería (categoría: Contractor)
Honey Do Done,Chula Vista,CA,Handyman/Handywoman/Handyperson,Handyman/Handywoman/Handyperson,+1 619-900-8411,No es servicio de plomería (categoría: Handyman/Handywoman/Handyperson)
Manlis Construction,Chula Vista,CA,Contractor,Contractor,+1 619-788-0800,No es servicio de plomería (categoría: Contractor)
Hirsch Pipe & Supply,Chula Vista,CA,Plumbing supply store,Plumbing supply store,+1 619-598-1874,No es servicio de plomería (categoría: Plumbing supply store)
"Valley Industrial Specialties, Inc.",Chula Vista,CA,Plumbing supply store,Plumbing supply store,+1 619-420-4300,No es servicio de plomería (categoría: Plumbing supply store)
Chula Vista Sprinkler Repair,Chula Vista,CA,Lawn sprinkler system contractor,Lawn sprinkler system contractor,+1 619-956-9521,No es servicio de plomería (categoría: Lawn sprinkler system contractor)
San Diego Pump,Chula Vista,CA,Plumbing supply store,Plumbing supply store,+1 619-474-0843,No es servicio de plomería (categoría: Plumbing supply store)
Chuys Appliance Repair,Chula Vista,CA,Appliance repair service,Appliance repair service,+1 619-773-0925,No es servicio de plomería (categoría: Appliance repair service)
Standard Plumbing Supply,Chula Vista,CA,Hardware store,Plumbing supply store,+1 619-754-8803,No es servicio de plomería (categoría: Hardware store)
Xpress Restoration Inc. : Fire & Water Damage Restoration,Chula Vista,CA,Water damage restoration service,Water damage restoration service,+1 619-633-2841,No es servicio de plomería (categoría: Water damage restoration service)
Gloria Construction Inc,Chula Vista,CA,Construction company,Construction company,+1 619-777-0188,No es servicio de plomería (categoría: Construction company)
Grainger Industrial Supply,Chula Vista,CA,Tool store,Tool store,+1 800-472-4643,No es servicio de plomería (categoría: Tool store)
Sears Heating and Air Conditioning,Chula Vista,CA,Air conditioning contractor,Air conditioning contractor,,No es servicio de plomería (categoría: Air conditioning contractor)
Grelaz Complete Auto Repair,Chula Vista,CA,Auto repair shop,Auto repair shop,+1 619-827-7477,No es servicio de plomería (categoría: Auto repair shop)
The Plumbers Crack,Mesa,AZ,Plumbing supply store,Plumbing supply store,+1 480-597-5530,No es servicio de plomería (categoría: Plumbing supply store)
Mountain Fresh Water Systems,Mesa,AZ,Water softening equipment supplier,Water softening equipment supplier,+1 480-899-8889,No es servicio de plomería (categoría: Water softening equipment supplier)
Reece Plumbing,Mesa,AZ,Plumbing supply store,Plumbing supply store,+1 480-265-3636,No es servicio de plomería (categoría: Plumbing supply store)
Air & Water Mechanical Services,Mesa,AZ,Air conditioning repair service,Air conditioning repair service,+1 480-706-3333,No es servicio de plomería (categoría: Air conditioning repair service)
Van Marcke Plumbing Supply,Mesa,AZ,Plumbing supply store,Plumbing supply store,+1 480-833-1226,No es servicio de plomería (categoría: Plumbing supply store)
Boyett's family Rayne Water Conditioning,Mesa,AZ,Water softening equipment supplier,Water softening equipment supplier,+1 480-969-7251,No es servicio de plomería (categoría: Water softening equipment supplier)
Pinpoint Pool Leak Detection In Phoenix,Mesa,AZ,Swimming pool repair service,Swimming pool repair service,+1 602-777-0771,No es servicio de plomería (categoría: Swimming pool repair service)
Ameriflow Water Systems Inc.,Mesa,AZ,Water softening equipment supplier,Water softening equipment supplier,+1 602-275-4188,No es servicio de plomería (categoría: Water softening equipment supplier)
Fenn Pipe & Supply Inc,Mesa,AZ,Plumbing supply store,Plumbing supply store,+1 480-969-9129,No es servicio de plomería (categoría: Plumbing supply store)
"Manny's Air, LLC.",Mesa,AZ,Air conditioning contractor,Air conditioning contractor,+1 602-434-2002,No es servicio de plomería (categoría: Air conditioning contractor)
North Valley Mechanical HVAC,Mesa,AZ,HVAC contractor,HVAC contractor,+1 623-624-7820,No es servicio de plomería (categoría: HVAC contractor)
B & R Industries Inc,Mesa,AZ,Manufacturer,Manufacturer,+1 480-898-0008,No es servicio de plomería (categoría: Manufacturer)
"Trilogy Pools Service & Repair, LLC",Mesa,AZ,attractions,Pool cleaning service,+1 480-430-8129,No es servicio de plomería (categoría: attractions)
Blue Clover Pool Service,Mesa,AZ,Swimming pool repair service,Swimming pool repair service,+1 480-319-2286,No es servicio de plomería (categoría: Swimming pool repair service)
Kohler Hughes Fulfillment Center,Mesa,AZ,Plumbing supply store,Plumbing supply store,+1 480-489-2974,No es servicio de plomería (categoría: Plumbing supply store)
DC Restoration,Mesa,AZ,Fire damage restoration service,Fire damage restoration service,+1 480-892-3855,No es servicio de plomería (categoría: Fire damage restoration service)
East Valley Disaster Service,Mesa,AZ,Building restoration service,Building restoration service,+1 480-833-4538,No es servicio de plomería (categoría: Building restoration service)
Contractors of Phoenix Roofing & Remodeling,Mesa,AZ,Contractor,Contractor,+1 480-524-4807,No es servicio de plomería (categoría: Contractor)
M&M ELECTRONICS. Major Appliance Repair,Mesa,AZ,Appliance repair service,Appliance repair service,+1 602-810-7149,No es servicio de plomería (categoría: Appliance repair service)
"Diamond Kitchen & Bath, Inc.",Mesa,AZ,Home improvement store,Home improvement store,+1 480-464-5565,No es servicio de plomería (categoría: Home improvement store)
Affinity Solutions Experts,Mesa,AZ,General contractor,General contractor,+1 602-466-2394,No es servicio de plomería (categoría: General contractor)
Saturday Savers Handyman Services,Mesa,AZ,Handyman/Handywoman/Handyperson,Handyman/Handywoman/Handyperson,+1 480-725-8099,No es servicio de plomería (categoría: Handyman/Handywoman/Handyperson)
Preferred Plumbing Supply,Miami,FL,Plumbing supply store,Plumbing supply store,+1 786-955-8003,No es servicio de plomería (categoría: Plumbing supply store)
