name,city,state,state_code,postal_code,category,type,subtypes,business_status,phone,website,address,has_address,has_phone,has_website,open_24_hours,emergency_evidence,classification,reason,duplicate_of,source_record_id
1-Tom-Plumber,Gilbert,Arizona,AZ,85233,Plumber,Plumber,Plumber,CLOSED_TEMPORARILY,+14807129688,https://www.1tomplumber.com/east-valley-phoenix,"75 W Baseline Rd #22, Gilbert, AZ 85233",true,true,true,false,false,excluded,business status: CLOSED_TEMPORARILY,,ChIJVUWoadqpK4cR6kbzWCKEZoc
Affinity Solutions Experts,Mesa,Arizona,AZ,85203,General contractor,General contractor,General contractor,OPERATIONAL,+16024662394,http://affinityse.com,"643 N Gilbert Rd, Mesa, AZ 85203",true,true,true,false,false,excluded,not a plumbing service candidate,,ChIJk3wE412nK4cR7-nYTDYkmLA
Air & Water Mechanical Services,Mesa,Arizona,AZ,85210,Air conditioning repair service,Air conditioning repair service,"Air conditioning repair service, Air conditioning contractor, Air conditioning system supplier, Air duct cleaning service, Furnace repair service, Heating contractor, HVAC contractor",OPERATIONAL,+14807063333,https://airwateraz.com,"1048 S Sirrine, Mesa, AZ 85210",true,true,true,false,false,excluded,not a plumbing service candidate,,ChIJdwwuMHKoK4cRn6X60RGl7pM
Ameriflow Water Systems Inc.,Mesa,Arizona,AZ,85210,Water softening equipment supplier,Water softening equipment supplier,"Water softening equipment supplier, Manufacturer, Water filter supplier",OPERATIONAL,+16022754188,http://www.ameriflowwater.com,"115 W 1st Ave, Mesa, AZ 85210",true,true,true,false,false,excluded,not a plumbing service candidate,,ChIJSaxQDcoIK4cR3Na4fa_Qee0
B & R Industries Inc,Mesa,Arizona,AZ,85210,Manufacturer,Manufacturer,Manufacturer,OPERATIONAL,+14808980008,http://ultimawater.net,"39 W Hampton Ave, Mesa, AZ 85210",true,true,true,false,false,excluded,not a plumbing service candidate,,ChIJ65bgi02oK4cRxXvbIWyQxDE
Blue Clover Pool Service,Mesa,Arizona,AZ,85201,Swimming pool repair service,Swimming pool repair service,Swimming pool repair service,OPERATIONAL,+14803192286,,"638 W Contessa Cir, Mesa, AZ 85201",true,true,false,false,false,excluded,not a plumbing service candidate,,ChIJEae7WO2nK4cR3lF6LSM1qio
Boyett's family Rayne Water Conditioning,Mesa,Arizona,AZ,85210,Water softening equipment supplier,Water softening equipment supplier,"Water softening equipment supplier, Drinking water fountain, Water cooler supplier, Water testing service, Water treatment supplier",OPERATIONAL,+14809697251,http://www.azh2o.com,"38 E 5th Ave, Mesa, AZ 85210",true,true,true,false,false,excluded,not a plumbing service candidate,,ChIJNQYOq9-nK4cRIj8jqZFh6pU
Contractors of Phoenix Roofing & Remodeling,Mesa,Arizona,AZ,85204,Contractor,Contractor,"Contractor, Remodeler, Roofing contractor",OPERATIONAL,+14805244807,https://contractorsofphoenix.com/roof-repair,"1520 E El Moro Ave, Mesa, AZ 85204",true,true,true,false,false,excluded,not a plumbing service candidate,,ChIJgbr59Y-oK4cRJeWO6hPdIbY
DC Restoration,Mesa,Arizona,AZ,85210,Fire damage restoration service,Fire damage restoration service,"Fire damage restoration service, Water damage restoration service",OPERATIONAL,+14808923855,http://www.dcrestoration.us,"422 S Drew St, Mesa, AZ 85210",true,true,true,true,true,excluded,not a plumbing service candidate,,ChIJI2Fwn-CnK4cRSVUibHefb18
"Diamond Kitchen & Bath, Inc.",Mesa,Arizona,AZ,85201,Home improvement store,Home improvement store,Home improvement store,OPERATIONAL,+14804645565,https://www.diamondkitchenandbath.com,"522 N Country Club Dr, Mesa, AZ 85201",true,true,true,false,false,excluded,not a plumbing service candidate,,ChIJj_T3apOnK4cR0fSVSaaKGOQ
