name,city,state,state_code,postal_code,category,type,subtypes,business_status,phone,website,address,has_address,has_phone,has_website,open_24_hours,emergency_evidence,classification,reason,duplicate_of,source_record_id
1UP PLUMBING,Apache Junction,Arizona,AZ,85120,Plumber,Plumber,"Plumber, Drainage service, Water filter supplier, Water softening equipment supplier, Water treatment supplier",OPERATIONAL,+16025581363,https://www.1upplumbingaz.com,"315 S Stardust Ln, Apache Junction, AZ 85120",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJK4V4oQuesywRDTOYLyLrYl0
Rescue Plumbing Services,Apache Junction,Arizona,AZ,85119,Plumber,Plumber,"Plumber, Contractor, Drainage service, Repair service",OPERATIONAL,+14802865372,https://www.rescueplumbingservicesaz.com,"4995 E Roosevelt St, Apache Junction, AZ 85119",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJc0Ul7ek1tE4R69YhPWdWRQc
"EZ Flow Plumbing, LLC",Chandler,Arizona,AZ,85225,Plumber,Plumber,Plumber,OPERATIONAL,+16026134525,https://www.ezflowplumbingaz.com,"3400 N Arizona Ave #112-113, Chandler, AZ 85225",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJe9KtWfmsK4cRqrObzUx7nIU
Plumbers Near Me - Water Heater & Plumbing Services,Chandler,Arizona,AZ,85225,Plumber,Plumber,"Plumber, Drainage service, Gas installation service, Pipe supplier, Septic system service, Water softening equipment supplier",OPERATIONAL,+14806745931,https://plumbersnearme.services/service-areas/chandler-plumbing-services,"201 S Washington St Spc A, Chandler, AZ 85225",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJRTIEt5-rK4cRB5JyYybUU0A
Anytime Home Services,Gilbert,Arizona,AZ,85233,Plumber,Plumber,Plumber,OPERATIONAL,+14807378273,http://www.anytimehomeservice.com,"75 W Baseline Rd Ste 19-20, Gilbert, AZ 85233",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJFcVpJj1LKocRlpZ9KDlu118
Second Opinion Plumbing,Gilbert,Arizona,AZ,85234,Plumber,Plumber,"Plumber, Bathroom remodeler, Gas installation service, Hot water system supplier, Kitchen remodeler, Water purification company, Water softening equipment supplier",OPERATIONAL,+14804481126,https://secondopinionplumbingaz.com/%3Futm_source%3DGMB%26utm_medium%3Dlocal,"410 E Scott Ave, Gilbert, AZ 85234",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJpQMgiTSsK4cR32ClQHGSaaw
Affordable Plumber AZ LLC,Mesa,Arizona,AZ,85210,Plumber,Plumber,Plumber,OPERATIONAL,+14807026165,,"127 W Juanita Ave, Mesa, AZ 85210",true,true,false,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJAWPAAa-nK4cRAoh-FA-wuIQ
All Star Plumbing,Mesa,Arizona,AZ,85212,Plumber,Plumber,Plumber,OPERATIONAL,+14809817827,http://all-star-plumbing.com,"11447 E Renfield Ave, Mesa, AZ 85212",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJFUDHZ3ivK4cR0ae6WwOGIz8
Arizona's Dukes of Air & Plumbing,Mesa,Arizona,AZ,85212,HVAC contractor,HVAC contractor,"HVAC contractor, Electrician, Plumber",OPERATIONAL,+14807736565,https://www.serviceexperts.com/gilbert-az/%3Futm_source%3Dgbp%26utm_medium%3Dorganic%26utm_campaign%3Dbrand,"6938 E Parkway Norte, Mesa, AZ 85212",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJ9296hxatK4cRSxQ6GEShObw
Arnett Plumbing,Mesa,Arizona,AZ,85203,Plumber,Plumber,Plumber,OPERATIONAL,+14804619940,http://www.arnettplumbing.com,"2116 N Gilbert Rd, Mesa, AZ 85203",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJIR0XfvWmK4cRiQ-D3nTri64
Around the Clock Plumbing,Mesa,Arizona,AZ,85213,Plumber,Plumber,"Plumber, Air conditioning contractor, Air conditioning repair service, Air conditioning system supplier, Air duct cleaning service, Chimney sweep, Dryer vent cleaning service, Electrical installation service, Electrician, HVAC contractor",OPERATIONAL,+14809629326,,"2134 E Evergreen St, Mesa, AZ 85213",true,true,false,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJha8BXRWmK4cR79xCgxOUh9c
Cactus Plumbing And Air,Mesa,Arizona,AZ,85207,Plumber,Plumber,"Plumber, Air conditioning contractor",OPERATIONAL,+16232800805,https://cactusplumbingandair.com/mesa-plumber-and-ac-repair/%3Futm_source%3Dgmb%26utm_medium%3Dwest_mesa,"9333 E Apache Trail Ste #128, Mesa, AZ 85207",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJsxK8HdOxK4cR49AsBCUaYNk
Delta Plumbing Repipe and Drains,Mesa,Arizona,AZ,85206,Plumber,Plumber,"Plumber, Contractor, Drainage service",OPERATIONAL,+16234395060,https://www.deltaplumbingdrains.com,"6056 E Baseline Rd #155, Mesa, AZ 85206",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJT4W4lU2uK4cRfzTveNUXwSo
Desert Rain Plumbing,Mesa,Arizona,AZ,85210,Plumber,Plumber,Plumber,OPERATIONAL,+14806757861,https://www.desertrainplumbing.com,"540 W Iron Ave Ste 105, Mesa, AZ 85210",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJVXvoZi14AUARR7simMTMNZM
Dirt Dog Plumbing,Mesa,Arizona,AZ,85204,Plumber,Plumber,Plumber,OPERATIONAL,+14805583190,http://dirtdogplumbingaz.com,"456 E Juanita Ave # 1, Mesa, AZ 85204",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJQ0lG1UKoK4cR47anZZj9eg8
Done Right Plumbing Mesa,Mesa,Arizona,AZ,85201,Plumber,Plumber,Plumber,OPERATIONAL,+14806859953,,"1055 N Mesa Dr, Mesa, AZ 85201",true,true,false,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJHWtJdOF4DUoRjBLAto-lRro
Elevate Plumbers,Mesa,Arizona,AZ,85204,Plumber,Plumber,Plumber,OPERATIONAL,+14806418888,https://elevateplumbers.com,"916 E Baseline Rd Suite #206, Mesa, AZ 85204",true,true,true,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJwfoxCH6pK4cRVw5ddW_weOU
Ikmar Plumbing LLC,Mesa,Arizona,AZ,85210,Plumber,Plumber,Plumber,OPERATIONAL,+14806746067,,"535 W Iron Ave #109, Mesa, AZ 85210",true,true,false,false,false,manual_review,operational plumbing candidate without explicit emergency or 24/7 evidence,,ChIJu6yHCxepK4cRwglq7F68fKI
