name,city,state,state_code,postal_code,category,type,subtypes,business_status,phone,website,address,has_address,has_phone,has_website,open_24_hours,emergency_evidence,classification,reason,duplicate_of,source_record_id
A/C & Plumbing Doctors,Gilbert,Arizona,AZ,85233,Air conditioning contractor,Air conditioning contractor,"Air conditioning contractor, Air conditioning repair service, Air conditioning system supplier, Drainage service, HVAC contractor, Plumber, Water purification company, Water softening equipment supplier, Water treatment supplier",OPERATIONAL,+16027671830,https://theacdoctors.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DGMBListing-gilbert-az,"1394 N Farrell Ct, Gilbert, AZ 85233",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJp4egbwOxK4cRwMoTrpFLydA
Arid Valley Plumbing,Gilbert,Arizona,AZ,85233,Plumber,Plumber,"Plumber, Drainage service, Hot water system supplier, Repair service",OPERATIONAL,+14804852994,https://aridvalleyaz.com/plumber-in-gilbert-az/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,"511 W Guadalupe Rd #5, Gilbert, AZ 85233",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJocc39MelK4cRAUO8wF67KUs
Cure All Plumbing,Gilbert,Arizona,AZ,85233,Plumber,Plumber,"Plumber, Drainage service, Water filter supplier, Water treatment supplier",OPERATIONAL,+14808955858,https://www.cureallplumbing.com/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-listing,"75 W Baseline Rd Suite 30, Gilbert, AZ 85233",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJ_____4-lK4cR-h44KtkLve0
Eagle Services,Gilbert,Arizona,AZ,85233,Plumber,Plumber,Plumber,OPERATIONAL,+14806594942,http://eagleplumbing.net,"1245 N McQueen Rd, Gilbert, AZ 85233",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJx-MxgE-oK4cRuF6GGMS57BQ
Epic Plumbing,Gilbert,Arizona,AZ,85233,Plumber,Plumber,Plumber,OPERATIONAL,+14808341466,http://www.epicplumbingaz.com,"1515 W San Angelo St, Gilbert, AZ 85233",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJIToOE06oK4cRa4rhMkTtnQg
Gold Star Plumbing & Drain,Gilbert,Arizona,AZ,85233,Plumber,Plumber,"Plumber, Drainage service",OPERATIONAL,+14804050922,https://goldstarplumbingaz.com/service-areas/gilbert-az-plumber/%3Futm_campaign%3Dgmb%26utm_medium%3Dorganic%26utm_source%3Dgoogle,"1528 W San Pedro St #4, Gilbert, AZ 85233",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJl57AEQGtK4cRAgsM6qOzgOk
Phend Plumbing & Rooter LLC,Gilbert,Arizona,AZ,85234,Plumber,Plumber,Plumber,OPERATIONAL,+14803886093,https://www.phendplumbing.com,"343 N Gilbert Rd, Gilbert, AZ 85234",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJZzSVbBepK4cR3_hDVtT7Nk0
Premier Plumbing And Rooter,Gilbert,Arizona,AZ,85234,Plumber,Plumber,Plumber,OPERATIONAL,+14808753855,https://premierplumbingandrooteraz.com,"929 N Val Vista Dr #114, Gilbert, AZ 85234",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJeRAMhJ8HIgIRWmj_QNPlMQs
"Rite Way Heating, Cooling & Plumbing: Phoenix",Gilbert,Arizona,AZ,85233,Air conditioning repair service,Air conditioning repair service,"Air conditioning repair service, Air conditioning contractor, Electrician, Furnace repair service, Heating contractor, HVAC contractor, Plumber",OPERATIONAL,+14807258510,https://ritewayac.com/phoenix,"1320 W Boxwood Ave, Gilbert, AZ 85233",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJj2pEmkCoK4cRnK8uaULXClw
Travis & Sons Plumbing & Rooter,Gilbert,Arizona,AZ,85233,Plumber,Plumber,"Plumber, Drainage service, Hot water system supplier, Water filter supplier, Water pump supplier, Water softening equipment supplier, Water treatment supplier",OPERATIONAL,+14808379422,https://www.travisandsonsplumbing.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-gilbert%26utm_content%3Dlisting,"1324 N Farrell Ct Ste 109 office 6, Gilbert, AZ 85233",true,true,true,true,true,priority_24_7_review,operational plumbing candidate with emergency or 24/7 evidence,,ChIJ5aY2Fu2pK4cRiFnDM3eYUeI
